ID,Ilac_Adi,Etkin_Madde,Firma
0,% 0.4 LİDODEKS % 5 DEKSTROZ İÇİNDE İ.V. İNFÜZYON İÇİN ÇÖZELTİ,LİDOKAİN HİDROKLORÜR,POLİFARMA İLAÇ SAN. VE TİC. A.Ş.
1,% 0.8 LİDODEKS % 5 DEKSTROZ İÇİNDE İ.V. İNFÜZYON İÇİN ÇÖZELTİ,LİDOKAİN HİDROKLORÜR,POLİFARMA İLAÇ SAN. VE TİCARET A.Ş.
2,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,DEKSTROZ,OSEL ILAÇ SAN. VE TIC.A.Ş.
3,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,DEKSTROZ,OSEL ILAÇ SAN. VE TIC.A.Ş.
4,% 10 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,DEKSTROZ,OSEL ILAÇ SAN. VE TIC.A.Ş.
5,"% 17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU",DEKSTROZ,OSEL ILAÇ SAN.VE TIC.A.Ş.
6,"% 17,5 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU",DEKSTROZ,OSEL ILAÇ SAN.VE TIC.A.Ş.
7,% 20 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLÜSYONU,DEKSTROZ,OSEL ILAÇ SAN.VE TIC.A.Ş.
8,% 20 SODYUM KLORÜR ÇÖZELTİSİ İÇEREN AMPUL,SODYUM KLORÜR,ONFARMA İLAÇ İNŞAAT TIBBİ ALETLER SAN. VE TİC. LTD. ŞTİ.
9,% 30 DEKSYTROZ BİOSEL SUDAKİ HİPERTONİK SOLÜSYONU,DEKSTROZ,OSEL İLAÇ SAN.VE TİC.A.Ş.
10,% 5 DEKSTROZ LAKTATLI RINGER SOLÜSYONU (CAM ŞIŞEDE),KÜB'E BAKINIZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
11,% 5 DEKSTROZ LAKTATLI RINGER SOLÜSYONU (MEDIFLEKS TORBA),KÜB'E BAKINIZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
12,% 50 DEKSTROZ BİOSEL SUDAKİ HİPERTONİK SOLÜSYONU,DEKSTROZ,OSEL İLAÇ SAN.VE TİC.A.Ş.
13,%0.9 İZOTONİK SODYUM KLORÜR SOLÜSYONU,SODYUM KLORÜR,OSEL İLAÇ SAN. VE TİC. A.Ş.
14,%0.9 İZOTONİK SODYUM KLORÜR SOLÜSYONU,SODYUM KLORÜR,OSEL İLAÇ SAN. VE TİC. A.Ş.
15,%1.5 GLISIN İRIGASYON SOLÜSYONU,GLISIN,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
16,%10 DEKSTROZ SUDAKI SOLÜSYONU (CAM),DEKSTROZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
17,%10 DEKSTROZ SUDAKI SOLÜSYONU (MEDIFLEKS),DEKSTROZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
18,%10 FREAMINE III ENJEKTABL AMIMOASIT SOLÜSYONU,ESANSIYEL AMINO ASIT SOLÜSYONU,
19,%10 MANNİTOL ÇÖZELTİSİ,MANNİTOL,ÇETİNKAYA İLAÇ SAN. VE TİC. A.Ş.
20,%20 MANNİTOL OSEL IV İNFÜZYONLUK ÇÖZELTİ,MANNİTOL,OSEL İLAÇ SAN. VE TİC. A.Ş
21,%3 HİPERTONİK SODYUM KLORÜR OSEL IV İNFÜZYONLUK ÇÖZELTİ,SODYUM KLORÜR,OSEL İLAÇ SAN. VE TİC. A.Ş.
22,%3 SODYUM KLORÜR SOLÜSYONU,Sodyum klorür,
23,%30 DEKTROZ SUDAKI SOLÜSYONU (CAM ŞIŞEDE),DEKSTROZ,
24,%30 DEKTROZ SUDAKI SOLÜSYONU (MEDIFLEKS TORBA),DEKSTROZ,
25,"%5 DEKSTROZ , %0.45 SODYUM KLORÜR, %0.3 POTASYUM KLORÜR BIOSEL ENJEKTABL SOLÜSYONU","DEKSTROZ MONOHIDRAT, SODYUM KLORÜR, POTASYUM KLORÜR",OSEL ILAÇ SAN
26,"%5 DEKSTROZ , %0.9 SODYUM KLORÜR BIOSEL SOLÜSYONU","DEKSTROZ MONOHIDRAT, SODYUM KLORÜR",OSEL ILAÇ SAN.
27,%5 DEKSTROZ %0.2 SODYUM KLORÜR BİOSEL ENJEKTABL SOLÜSYONU,KÜBE BAKINIZ,OSEL İLAÇ SAN. TİC. A.Ş.
28,%5 DEKSTROZ %0.45 SODYUM KLORÜR BİOSEL SOLÜSYONU,DEKSTROZ MONOHİDRAT - SODYUM KLORÜR,OSEL İLAÇ SAN. VE TİC. A.Ş.
29,%5 DEKSTROZ %0.45 SODYUM KLORÜR SOLÜSYONU (CAM),"DEKSTROZ MONOHIDRAT, SODYUM KLORÜR",ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
30,%5 DEKSTROZ %0.45 SODYUM KLORÜR SOLÜSYONU (MEDIFLEKS),"DEKSTROZ MONOHIDRAT, SODYUM KLORÜR",ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
31,%5 DEKSTROZ BIOSEL SUDAKI SOLÜSYONU,DEKSTROZ,OSEL
32,%5 DEKSTROZ LAKTATLI RİNGER SOLÜSYONU (CAM ŞİŞEDE),"DEKSTROZ MONOHİDRAT, SODYUM KLORÜR, SODYUM LAKTAT, POTASYUM KLORÜR, KALSİYUM KLORÜR",ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SAN. VE TİC. A.Ş.
33,%5 DEKSTROZ LAKTATLI RİNGER SOLÜSYONU(MEDİFLEX TORBADA),"DEKSTROZ MONOHİDRAT, SODYUM KLORÜR, SODYUM LAKTAT, POTASYUM KLORÜR, KALSİYUM KLORÜR",ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SAN. VE TİC. A.Ş.
34,%5 DEKSTROZ RINGER LAKTAT BIOSEL SOLÜSYONU,"DEKSTROZ MONOHIDRAT,SODYUM KLORÜR,SODYUM LAKTAT,POTASYUM KLORÜR,KALSIYUM KLORÜR DIHIDRAT",OSEL
35,%5 DEKTROZ SUDAKI SOLÜSYONU (CAM),DEKSTROZ MONOHIDRAT,
36,%5 DEKTROZ SUDAKI SOLÜSYONU (MEDIFLEKS),DEKSTROZ MONOHIDRAT,
37,%50 DEKSTROZ SUDAKI SOLÜSYONU (CAM ŞIŞEDE),Glukoz,
38,1/2 İZOTONİK SODYUM KLORÜR İZOTONİK DEKSTROZ ÇÖZELTİSİ,Dekstroz Anhidrit Sodyum Klorür,ÇETİNKAYA İLAÇ SAN. VE TİC. A.Ş.
39,"1/3 İZODEKS (%3.33 DEKSTROZ %0,3 NACL SOLÜSYONU) (CAM)","NACL, DEKSTROZ MONOHIDRAT",ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
40,"1/3 İZODEKS (%3.33 DEKSTROZ %0,3 NACL SOLÜSYONU) (MEDIFLEKS)","NACL, DEKSTROZ MONOHIDRAT",ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
41,1/3 İZOTONİK SODYUM KLORÜR İZOTONİK DEKSTROZ ÇÖZELTİSİ,DEKSTROZ ANHİDRİT + SODYUM KLORÜR,ÇETİNKAYA İLAÇ SAN. VE TİC. A.Ş.
42,5- FU INJECTION 250 MG/ 5 ML,5- FLUOROURASIL,KOÇSEL ILAÇ SAN. VE TIC. A. Ş.
43,5-FLUOROURACIL 1000 MG/20 ML ENJEKTABL ÇÖZELTI IÇEREN FLAKON,5-FLUOROURACIL,
44,5-FLUOROURACIL 500 MG/10 ML ENJEKTABL ÇÖZELTI IÇEREN FLAKON,5-FLUOROURACIL,TENASOL
45,5-FLUOROURACIL BIOSYN 1000 MG/20 ML AMPUL,5-FLUOROURACIL,SANDOZ İLAÇ SANAYİ VE TİCARET A.Ş.
46,5-FLUOROURACIL BIOSYN 250 MG/5 ML AMPUL,5-FLUOROURACIL,SANDOZ İLAÇ SANAYİ VE TİCARET A.Ş.
47,5-FLUOROURACIL BIOSYN 500 MG/10 ML AMPUL,5-FLUOROURACIL,
48,5-Frotu 1000 mg/20 ml Enjeksiyonluk Çözelti İçeren Flakon,5-Fluorourasil,Onko İlaç San. ve Tic. A.Ş.
49,5-FROTU 500 MG/10 ML ENJEKSİYONLUK ÇÖZELTİ,5-FLUOROURASIL,ONKO İLAÇ SAN. VE TİC. A.Ş.
50,5-Frotu 5000 mg/100 ml Enjeksiyonluk Çözelti İçeren Flakon,5-Fluorourasil,Onko İlaç San. ve Tic. A.Ş.
51,A-FERİN 1 MG+160 MG/5 ML PEDİATRİK ŞURUP,"PARASETAMOL, KLORFENİRAMİN MALEAT",HÜSNÜ ARSAN İLAÇLARI
52,A-FERİN 300 MG/2 MG/10 MG KAPSÜL,"PARASETAMOL, KLORFENİRAMİN MALEAT, KODEİN FOSFAT",HÜSNÜ ARSAN İLAÇLARI A.Ş.
53,A-FERIN FORTE 500 MG/4 MG FILM KAPLı TABLET,"PARASETAMOL, KLORFENIRAMIN MALEAT",HÜSNÜ ARSAN İLAÇLARI A.Ş.
54,A-FERİN FORTE 650 MG/4 MG FİLM KAPLI TABLET,"PARASETAMOL, KLORFENİRAMİN MALEAT",HÜSNÜ ARSAN ILAÇLARI A.Ş.
55,A-FERIN HOT TEK KULLANIMLIK TOZ IÇEREN POŞET,"PARASETAMOL, PSÖDOEFEDRIN HIDROKLORUR",HÜSNÜ ARSAN ILAÇLARI A.Ş.
56,A-FERİN PLUS 1 MG+15 MG+160 MG/5 ML PEDİYATRİK ŞURUP,"PARASETAMOL, KLORFENİRAMİN MALEAT, PSÖDOEFEDRİN HCL",HÜSNÜ ARSAN İLAÇLARI A. Ş.
57,"A-FERIN SINÜS 500 MG/30 MG/1,25 MG FILM KAPLI TABLET","PARASETAMOL, PSÖDOEFEDRIN HIDROKLORUR, TRIPROLIDIN HIDROKLORÜR",HÜSNÜ ARSAN ILAÇLARI A.Ş.
58,A-FERİN ZERO 120 MG/5 ML PEDİATRİK ŞURUP,PARASETAMOL,HÜSNÜ ARSAN İLAÇLARI A.Ş
59,A-FERİN ZERO 6 PLUS 250 MG/5 ML ORAL SüSPANSIYON,PARASETAMOL,HÜSNÜ ARSAN İLAÇLARI A.Ş.
60,A-NOX FORT 550 MG TABLET,NAPROKSEN SODYUM,AROMA ILAÇ SANAYI LTD. ŞTI.
61,A-PER 10 MG/ML I.V. İNFÜZYONLUK ÇÖZELTİ,PARASETAMOL,AROMA İLAÇ SAN. LTD. ŞTİ.
62,A-PER 120 MG/5 ML PEDİATRİK ŞURUP,PARASETAMOL,AROMA İLAÇ
63,A-PER 120 MG/5 ML PEDİATRİK ŞURUP,PARASETAMOL,AROMA İLAÇ
64,"ABALEVO 1,5 MG TABLET",LEVONORGESTREL,ABAYPHARMA SAĞLIK ÜRÜNLERİ SAN. VE TİC. A.Ş.
65,ABAVİR 245 MG FİLM KAPLI TABLET,TENOFOVİR DİSOPROKSİL FUMARAT,DROGSAN İLAÇLARI SAN. VE TİC. A.Ş.
66,ABDİ İBRAHİM MELATONİN 3 MG TABLET,MELATONIN,Abdi İbrahim İlaç San. ve Tic. A.Ş.
67,ABDİ İBRAHİM MELATONİN 5 MG TABLET,MELATONIN,Abdi İbrahim İlaç San. ve Tic. A.Ş.
68,ABELCET 100MG/20ML IV İNFÜZYON İÇIN SÜSPANSIYON İÇEREN FLAKON,AMFOTERISIN B,
69,ABETYL 250 MG TABLET,ABİRATERON ASETAT,ABDİ İBRAHİM İLAÇ SAN. VE TİC. A.Ş.
70,ABETYL 500 MG FILM KAPLı TABLET,ABIRATERON ASETAT,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş
71,ABEXTIN 2MG/ML ORAL ÇÖZELTI,RIVASTIGMIN HIDROJEN TARTARAT,SANOVEL İLAÇ SAN. VE TİC. A.Ş.
72,ABHAYRAB 2.5 IU/0.5 MI IM/ID ENJEKSİYON İÇİN TOZ İÇEREN FLAKON,LİYOFİLİZE KUDUZ ANTİJENİ,ER-EM FARMA DIŞ TİCARET LTD.ŞTİ.
73,ABHAYRAB 2.5 IU/0.5 ML IM/ID ENJEKSİYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN LİYOFİLİZE TOZ VE ÇÖZÜCÜ,İNAKTİVE EDİLMİŞ&SAFLAŞTIRILMIŞ KUDUZ ANTİJEN KONSANTRESİ,YENİŞARK MÜMESSİL ECZA DEPOSU A.Ş.
74,ABİLİFY 1 MG/ML ORAL ÇÖZELTİ,ARİPİPRAZOL,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş.
75,ABİLİFY 10 MG TABLET,ARİPİPRAZOL,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş
76,ABİLİFY 15 MG TABLET,ARİPİPRAZOL,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş.
77,ABİLİFY 30 MG TABLET,ARİPİPRAZOL,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş.
78,ABİLİFY 5 MG TABLET,ARİPİPRAZOL,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş
79,ABILIFY 7.5MG/ML IM ENJEKSIYONLUK ÇÖZELTI İÇEREN FLAKON,ARIPIPRAZOL,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş.
80,ABİLİFY MAİNTENA 300 MG UZUN SALIMLI İM ENJEKSIYONLUK FLAKON,ARİPİPRAZOL MONOHİDRAT,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş.
81,ABİLİFY MAİNTENA 400 MG UZUN SALIMLI İM ENJEKSIYONLUK FLAKON,ARİPİPRAZOL MONOHİDRAT,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş.
82,ABIRATEX 250 MG TABLET,ABIRATERON ASETAT,GENSENTA İLAÇ SAN. VE TİC. A.Ş.
83,ABITIGA 250 MG TABLET,ABİRATERON ASETAT,TEVA PHARMA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ
84,ABİZOL  1 MG/ ML ORAL ÇÖZELTİ,ARİPİPRAZOL,NOBEL İLAÇ SAN. VE TİC. A.Ş.
85,ABIZOL 10 MG TABLET,ARIPIPRAZOL,NOBEL İLAÇ SAN. VE TİC. A.Ş.
86,ABIZOL 15 MG TABLET,ARIPIPRAZOL,NOBEL İLAÇ SAN. VE TİC. A.Ş
87,ABIZOL 20 MG TABLET,ARIPIPRAZOL,NOBEL İLAÇ SAN. VE TİC. A.Ş.
88,ABIZOL 30 MG TABLET,ARIPIPRAZOL,NOBEL İLAÇ SAN. VE TİC. A.Ş.
89,ABIZOL 5 MG TABLET,ARIPIPRAZOL,NOBEL İLAÇ SAN. VE TİC. A.Ş.
90,ABIZOL EASYTAB 10MG AĞIZDA DAĞILAN TABLET,ARIPIPRAZOL,NOBEL İLAÇ PAZARLAMA VE SANAYİİ LTD. ŞTİ
91,ABIZOL EASYTAB 10MG AĞIZDA DAĞILAN TABLET,ARIPIPRAZOL,NOBEL ILAÇ SAN. VE TIC. A.Ş.
92,ABIZOL EASYTAB 15MG AĞIZDA DAĞILAN TABLET,ARIPIPRAZOL,NOBEL İLAÇ SAN. VE TİC. A.Ş.
93,ABİZOL EASYTAB 5 MG AĞIZDA DAĞILAN TABLET,ARİPİPRAZOL,NOBEL İLAÇ SAN. VE TİC. A.Ş.
94,ABPAX 40MG ENTERİK KAPLI TABLET,PANTOPRAZOL SODYUM SESKIHIDRAT,NOBEL SAĞLIK ÜRÜNLERİ LTD.ŞTİ.
95,ABRYSVO  0.5  ML  IM  ENJEKSIYONLUK  ÇöZELTI  HAZıRLAMAK İçIN TOZ VE ÇöZüCü,"RSV ALTGRUP A’DAN STABILIZE EDILMIş PREFüZYON F ANTIJENI, RSV ALTGRUP B’DEN STABILIZE EDILMIş PREFüZYON F ANTIJENI",PFİZER PFE İLAÇLARI A.Ş.
96,ABSTRAL 100 MCG DİL ALTI TABLET,FENTANİL SİTRAT,ERKİM İLAÇ SAN. VE TİC. A.Ş.
97,ABSTRAL 200 MCG DİL ALTI TABLET,FENTANİL SİTRAT,ERKİM İLAÇ SAN. VE TİC. A.Ş.
98,ABSTRAL 400 MCG DİL ALTI TABLET,FENTANİL SİTRAT,ERKİM İLAÇ SAN. VE TİC. A.Ş.
99,ABSTRAL 800 MCG DİL ALTI TABLET,FENTANİL SİTRAT,ERKİM İLAÇ SAN. VE TİC. A.Ş.
100,ABYGA  500  MG  FİLM  KAPLI TABLET,ABIRATERON ASETAT,Deva Holding A.Ş.
101,ABYGA 250 MG TABLET,ABİRATERON ASETAT,DEVA HOLDİNG A.Ş.
102,ACARIS 100MG TABLET,AKARBOZ,ALİ RAİF İLAÇ SANAYİ A.Ş.
103,ACARIS 50MG TABLET,AKARBOZ,ALİ RAİF İLAÇ SANAYİ A.Ş.
104,"ACCUSOL 35 HEMOFİLTRASYON, HEMODİYALİZ VE HEMODİYAFİLTRASYON İÇİN ÇÖZELTİ",KÜB'E BAKINIZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ
105,"ACCUSOL 35 POTASYUM 2 MMOL/L HEMOFİLTRASYON, HEMODİYALİZ VE HEMODİYAFİLTRASYON İÇİN ÇÖZELTİ",KÜB'E BAKINIZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ
106,"ACCUSOL 35 POTASYUM 4 MMOL/L HEMOFİLTRASYON, HEMODİYALİZ VE HEMODİYAFİLTRASYON İÇİN ÇÖZELTİ",KÜB'E BAKINIZ,ECZACIBAŞI-BAXTER HASTANE ÜRÜNLERİ
107,"ACDKIDS  PLUS  2000  IU+  3333  IU+70  MG/ML  ORAL  DAMLA,  ÇöZELTI","VİTAMİN A PALMİTAT, VİTAMİN D3 (COLECALCİFEROL), VİTAMİN C (ASKORBİK ASİT)",LİLYUM İLAÇ VE KİMYA SAN. TİC. A.Ş.
108,ACE PLUS SELENYUM YUMUŞAK KAPSÜL,"NATUREL β-KAROTEN ,VITAMIN C ,NATUREL VITAMIN E, SELENYUM  MAYASı",KOÇAK FARMA İLAÇ VE KİMYA SAN. A.Ş.
109,ACECAP  20/200/200  MG  YUMUşAK  KAPSüL,"BETA KAROTEN, VİTAMİN C, VİTAMİN E",KOÇAK FARMA İLAÇ VE KİMYA SAN. A.Ş
110,ACEFOR 10MG TABLET,FOSINOPRIL SODYUM,BİOFARMA İLAÇ SANAYİ VE TİCARET A.Ş.
111,ACEFOR 20MG TABLET,FOSINOPRIL SODYUM,BİOFARMA İLAÇ SANAYİ VE TİCARET A.Ş.
112,ACEPER 2 MG TABLET,PERINDOPRIL TERT-BÜTILAMIN,GENERİCA İLAÇ SAN. VE TİC. A.Ş.
113,ACEPER 2MG TABLET,PERINDOPRIL TERT-BUTILAMIN,GENERİCA İLAÇ SAN. VE TİC. A.Ş.
114,ACEPER 4 MG TABLET,PERINDOPRIL TERT-BÜTILAMIN,GENERİCA İLAÇ SAN. VE TİC. A.Ş.
115,ACEPER 4MG TABLET,PERINDOPRIL TERT-BUTILAMIN,GENERİCA İLAÇ SAN. VE TİC. A.Ş.
116,ACEPER 8 MG TABLET,PERINDOPRIL TERT-BÜTILAMIN,GENERİCA İLAÇ SAN. VE TİC. A.Ş.
117,ACEPER 8MG TABLET,PERINDOPRIL TERT-BUTILAMIN,GENERİCA İLAÇ SAN. VE TİC. A.Ş.
118,ACEPER PLUS 2MG/0.625MG TABLET,PERINDOPRIL TERT-BUTILAMIN,GENERİCA İLAÇ SAN. VE TİC. A.Ş.
119,ACEPER PLUS 4MG/1.25MG TABLET,PERINDOPRIL TERT-BUTILAMIN,GENERİCA İLAÇ SAN. VE TİC. A.Ş.
120,ACEPRİX 1 MG FİLM TABLET,SİLAZAPRİL,ALİ RAİF İLAÇ SANAYİ A.Ş.
121,"ACEPRİX 2,5 MG FİLM TABLET",SİLAZAPRİL,ALİ RAİF İLAÇ SANAYİ
122,"ACEPRİX 2,5 MG FİLM TABLET",SİLAZAPRİL,ALİ RAİF İLAÇ SANAYİ
123,ACEPRİX 5 MG FİLM TABLET,SİLAZAPRİL,ALİ RAİF İLAÇ SANAYİ
124,ACEPRIX PLUS 5MG/12.5 MG FILM TABLET,"SILAZAPRIL, HIDROKLOROTIYAZID",ALİ RAİF İLAÇ SANAYİ A.Ş.
125,ACESCAP YUMUŞAK KAPSÜL,"NATUREL β-KAROTEN ,VITAMIN C ,NATUREL VITAMIN E, SELENYUM  MAYASı",KOÇAK FARMA İLAÇ VE KİMYA SAN. A.Ş
126,ACETUDİL  FORTE 60 MG KAPSÜL,ASEMETASİN,SANTA FARMA İLAÇ SANAYİİ A.Ş.
127,ACETUDIL 90 MG UZATILMIŞ SALIMLI SERT KAPSÜL,ASEMETASIN,SANTA FARMA İLAÇ SAN. A.Ş.
128,ACİDPASS 10/800/165 MG ÇİĞNEME TABLETİ,"FAMOTİDİN, KALSİYUM KARBONAT, MAGNEZYUM HİDROKSİT",İLKO İLAÇ SAN VE TİC AŞ
129,ACILIBRE 40MG IV ENJEKSIYONLUK LIYOFILIZE TOZ İÇEREN FLAKON,PANTOPRAZOL SODYUM SESKIHIDRAT,
130,ACLABON 5MG/100ML İNFÜZYON ÇÖZELTİSİ İÇEREN FLAKON,ZOLEDRONİK ASİT,
131,ACLABON 5MG/100ML İNFÜZYON ÇÖZELTİSİ İÇEREN FLAKON,ZOLEDRONİK ASİT,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.
132,ACLASTA 5 MG/ 100 ML IV İNFÜZYON ÇÖZELTISI İÇEREN FLAKON,ZOLEDRONIK ASIT MONOHIDRAT,SANDOZ
133,ACLASTA 5MG/100 ML İNFÜZYON ÇÖZELTISI İÇEREN FLAKON,ZOLEDRONIK ASIT,NOVARTİS ÜRÜNLERİ
134,"ACLOREM %0,05 KREM",ALKLOMETAZON DİPROPİYONAT,SOLEBİO İLAÇ SANAYİ İTHALAT İHRACAT A.Ş.
135,"ACLOREM %0,05 MERHEM",ALKLOMETAZON DİPROPİYONAT,SOLEBİO İLAÇ SANAYİ İTHALAT İHRACAT A.Ş.
136,ACMEL 500 MG/5 ML IM/IV ENJEKSİYONLUK ÇÖZELTİ,C VİTAMİNİ (ASKORBİK ASİT),MENTA PHARMA İLAÇ SANAYİ VE TİCARET LİMİTED ŞİRKETİ
137,ACNEDUR % 3 MERHEM,TETRASIKLIN HIDROKLORüR,ADEKA İlaç Sanayi ve Ticaret A.Ş.
138,ACNEFFERIN %0.1 JEL,ADAPALEN,MEGA FARMA ILAG VE KOZMETIK SANAYI TICARET PAZARLAMA LIMITED SIRKETI
139,ACNEGEN 10 MG YUMUŞAK JELATIN KAPSÜL,IZOTRETINOIN,BIO-GEN ILAÇ SANAYI TICARET LTD.ŞTI.
140,ACNEGEN 20 MG YUMUŞAK JELATIN KAPSÜL,IZOTRETINOIN,BIO-GEN ILAÇ SANAYI TICARET LTD.ŞTI.
141,ACNELYSE      %0.025    KREM,RETINOIK ASIT,Abdi İbrahim İlaç San. ve Tic. A.Ş.
142,ACNELYSE  % 0.05 KREM,RETINOIK ASIT (TRETINOIN),Abdi İbrahim İlaç San. ve Tic. A.Ş.
143,ACNELYSE  % 0.1 KREM,RETINOIK ASIT (TRETINOIN),ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş
144,ACNEMİX %5 + %3 JEL,BENZOIL PEROKSIT - ERITROMISIN,BİLİM İLAÇ SANAYİİ VE TİCARET A.Ş.
145,ACNEMYCIN %3 + %5 JEL,"ERITROMISIN, BENZOIL PEROKSIT",ERA PHARMA ANALİTİK ÇÖZÜMLER VE İLAÇ SAN. TİC. A.Ş.
146,ACNEWELL  %  7.5  JEL,DAPSON,İLKO İLAÇ SAN. VE TİC. A.Ş.
147,ACNEWELL %5 JEL,DAPSON,İLKO İLAÇ SAN. VE TİC. A.Ş.
148,ACNOR 100 MG TABLET,AKARBOZ,NEUTEC İLAÇ SAN. TİC. A.Ş.
149,ACNOR 50 MG TABLET,AKARBOZ,NEUTEC İLAÇ SAN. TİC. A.Ş.
150,ACOMET 500 MG/100 ML IV İNFÜZYON İÇIN ÇÖZELTI İÇEREN FLAKON,LEVOFLOKSASIN HEMIHIDRAT,MENTA PHARMA İLAÇ SAN. VE TİC.LTD.ŞTİ.
151,ACORT 15 MG/ 850 MG FİLM TABLET,"PİOGLİTAZON HCL, METFORMİN HCL",TRİPHARMA İLAÇ SAN. TİC. A.Ş.
152,ACSERA 5 ML KONSANTRE ÇÖZELTI,ANDROCTONUS CRASSICAUDA VENOMUNA KARŞIN İG F(AB')2 FRAGMANLARI (AT KÖKENLI),VETAL SERUM VE BİYOLOJİK ÜRÜNLER ÜRETİMİ SAN. VE TİC. A.Ş.
153,ACSONAT 35MG FILM TABLET,RISEDRONAT SODYUM,PLATİN KİMYA MÜMESSİLLİK VE DIŞ TİCARET LİMİTED ŞİRKETİ
154,ACT 100 MG TEK DOZLUK EFERVESAN GRANüL   İçEREN POşET,ASETILSISTEIN,Adeka  İlaç  Sanayi  ve  Ticaret A.Ş.
155,ACT 200 MG TEK DOZLUK EFERVESAN GRANüL  İçEREN POşET,ASETILSISTEIN,Adeka  İlaç  Sanayi  ve  Ticaret A.Ş.
156,ACT 300 MG/3  ML (%10) ENJEKSIYONLUK ÇöZELTI,ASETİLSİSTEİN,ADEKA İLAÇ SAN. VE TİC. A.Ş.
157,ACTEDAY 30MG FILM TABLET,RİSEDRONAT SODYUM,NEUTEC İLAÇ SAN. TİC. A.Ş.
158,ACTEDAY 35 MG EFERVESAN TABLET,RİSEDRONAT SODYUM,NEUTEC İLAÇ SAN. TİC. A.Ş
159,ACTEDAY 35 MG FILM TABLET,RISEDRONAT SODYUM,NEUTEC İLAÇ SAN. TİC. A.Ş.
160,ACTEDAY 5 MG FİLM TABLET,RİSEDRONAT SODYUM,NEUTEC İLAÇ SAN. TİC. A.Ş.
161,ACTEMRA  200  MG/10  ML  INFüZYONLUK  KONSANTRE ÇÖZELTİ,TOCİLİZUMAB,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
162,ACTEMRA  400  MG/20  ML  INFüZYONLUK  KONSANTRE ÇÖZELTİ,TOCİLİZUMAB,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
163,ACTEMRA  80  MG/4  ML  INFüZYONLUK  KONSANTRE  çöZELTI,TOCİLİZUMAB,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ
164,ACTEMRA 162 MG/0.9 ML SC ENJEKSİYONLUK ÇÖZELTİ İÇEREN KULLANIMA HAZIR ENJEKTÖR,TOCİLİZUMAB,ROCHE MÜSTAHZARLARI SANAYİ A.Ş.
165,ACTIFED ŞURUP,"PSÖDOEFEDRIN HCL,TRIPROLIDIN HCL",GLAXOSMITHKLINE ILAÇLARI SAN. VE TIC. A.Ş.
166,ACTIFED TABLET,"PSÖDOEFEDRIN HCL,TRIPROLIDIN HCL",GLAXOSMITHKLINE ILAÇLARI SAN. VE TIC. A.Ş.
