ID,Ilac_Adi,Etkin_Madde,Firma
13975,TOLEDAK 500 MG FILM KAPLı TABLET,ETODOLAK,Berat Beran İlaç San. ve Tic. Ltd. Şti.
13976,TOLEDAK 600 MG FILM KAPLı TABLET,ETODOLAK,BERAT BERAN İLAÇ SAN. VE TİC. LTD. ŞTİ.
13977,TOLEDAK FORT 400 MG FILM KAPLı TABLET,ETODOLAK,BERAT BERAN İLAÇ SAN. VE TİC. LTD. ŞTİ.
13978,TOLIVER SR 2 MG UZATıLMış SALıMLı KAPSüL,TOLTERODİN TARTARAT,EİP ECZACIBAŞI İLAÇ PAZARLAMA A.Ş.
13979,TOLİVER SR 4 MG UZATıLMış SALıMLı KAPSüL,TOLTERODIN TARTARAT,EİP ECZACIBAŞI İLAÇ PAZARLAMA A.Ş.
13980,TOLPERON 150 MG FİLM KAPLI TABLET,TOLPERISON HIDROKLORüR,WORLD MEDICINE İLAÇ SAN. VE TİC. A.Ş.
13981,TOLPERON 50 MG FILM KAPLı TABLET,TOLPERISON HIDROKLORüR,World Medicine İlaç San. ve Tic. A.Ş.
13982,TOLTERIDEX SR 4 MG UZATıLMış SALıMLı SERT KAPSüL,TOLTERODIN TARTARAT,Gensenta İlaç San. ve Tic. A.Ş.
13983,TOLTEX 1 MG FILM KAPLI TABLET,TOLTERODIN TARTARAT,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.
13984,TOLTEX 2 MG FILM KAPLI TABLET,TOLTERODIN TARTARAT,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.
13985,TOLURİNE 100 MG İNFÜZYONLUK ÇÖZELTİ HAZIRLAMADA KULLANILACAK KONSANTRE İÇİN TOZ,İNFLİXİMAB,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş.
13986,TOLVADİ 15 MG TABLET,TOLVAPTAN,SABA İLAÇ SAN. VE TİC. A.Ş.
13987,TOLVADİ 30 MG TABLET,TOLVAPTAN,SABA İLAÇ SAN. VE TİC. A.Ş.
13988,TOLVON 10 MG TABLET,MIANSERIN HIDROKLORÜR,ORGANON TURKEY İLAÇLARI LİMİTED ŞİRKETİ
13989,TOLVON 30 MG TABLET,MIANSERIN HIDROKLORÜR,MERCK SHARP DOHME İLAÇLARI LTD. ŞTİ.
13990,TOMEC %2+%0.5 STERİL OFTALMİK SOLÜSYON,DORZOLAMİD HCL+ TİMOLOL MALEAT,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş
13991,TOMUDEX 2 MG IV INFÜZYON IÇIN LIYOFILIZE TOZ IÇEREN FLAKON,RALTITREKSED,ORNA İLAÇ TEKSTİL KİMYEVİ MAD. SAN. VE DIŞ TİC. LTD
13992,TOPAMAX 100 MG FILM KAPLI TABLET,TOPIRAMAT,JOHNSON AND JOHNSON SIHHİ MALZ. SAN. VE TİC. LTD. ŞTİ.
